event,version,catalog,GPS,snr,p_astro,far_yr,m1_source,m1_source_lower,m1_source_upper,m2_source,m2_source_lower,m2_source_upper,M_total_source,chirp_mass_source,chi_eff,chi_eff_lower,chi_eff_upper,final_mass_source,final_spin,luminosity_distance,redshift,reference,jsonurl,detectors,n_strain_files,is_problematic,glitch_mitigated,quality_note
GW200302_015811,1,GWTC-3-confident,1267149509.5,10.8,0.90643,0.11,37.8,-8.5,8.7,20.0,-5.7,8.1,57.8,23.4,0.01,-0.26,0.25,55.5,-6.6,1480.0,0.28,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200302_015811/v1,"H1,V1",24,False,False,
GW190421_213856,2,GWTC-2.1-confident,1239917954.2,10.7,0.99792,0.0028,42.0,-7.4,10.1,32.0,-9.8,8.3,73.6,31.4,-0.1,-0.27,0.21,70.5,-9.0,2590.0,0.45,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190421_213856/v2,"H1,L1",24,False,False,
GW200219_094415,1,GWTC-3-confident,1266140673.1,10.7,0.99,0.00099,37.5,-6.9,10.1,27.9,-8.4,7.4,65.0,27.6,-0.08,-0.29,0.23,62.2,-7.8,3400.0,0.57,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200219_094415/v1,"H1,L1,V1",36,False,False,
GW200128_022011,1,GWTC-3-confident,1264213229.9,10.6,0.99,0.0043,42.2,-8.1,11.6,32.6,-9.2,9.5,75.0,32.0,0.12,-0.25,0.24,71.0,-11.0,3400.0,0.56,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200128_022011/v1,"H1,L1",24,False,False,
GW190413_134308,2,GWTC-2.1-confident,1239198206.7,10.6,0.99058,0.18,51.3,-12.6,16.6,30.4,-12.7,11.7,81.3,33.3,-0.01,-0.38,0.28,78.0,-11.5,3800.0,0.62,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190413_134308/v2,"H1,L1,V1",36,False,False,
GW191230_180458,1,GWTC-3-confident,1261764316.4,10.4,0.96159,0.05,49.4,-9.6,14.0,37.0,-12.0,11.0,86.0,36.5,-0.05,-0.31,0.26,82.0,-11.0,4300.0,0.69,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191230_180458/v1,"H1,L1,V1",36,False,False,
GW200316_215756,1,GWTC-3-confident,1268431094.1,10.3,0.99,1e-05,13.1,-2.9,10.2,7.8,-2.9,2.0,21.2,8.75,0.13,-0.1,0.27,20.2,-1.9,1120.0,0.22,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200316_215756/v1,"H1,L1,V1",36,False,False,
GW190828_065509,2,GWTC-2.1-confident,1251010527.8,10.2,0.99998,3.5e-05,23.7,-6.7,6.8,10.4,-2.2,3.8,34.3,13.4,0.05,-0.17,0.16,33.0,-4.3,1540.0,0.29,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_065509/v2,"H1,L1,V1",36,False,False,
GW190930_133541,2,GWTC-2.1-confident,1253885759.2,9.7,0.99785,0.012,14.2,-4.0,8.0,6.9,-2.1,2.4,21.2,8.5,0.19,-0.16,0.22,20.2,-2.0,770.0,0.16,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190930_133541/v2,"H1,L1",24,False,False,
GW191105_143521,1,GWTC-3-confident,1256999739.9,9.7,0.99,0.012,10.7,-1.6,3.7,7.7,-1.9,1.4,18.5,7.82,-0.02,-0.09,0.13,17.6,-1.2,1150.0,0.23,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191105_143521/v1,"H1,L1,V1",36,False,True,Glitch mitigado: Virgo: BayesWave deglitching
GW190925_232845,1,GWTC-2.1-confident,1253489343.1,9.7,0.98849,0.0072,20.8,-2.9,6.5,15.5,-3.6,2.5,36.7,15.6,0.09,-0.15,0.16,34.9,-2.6,930.0,0.19,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190925_232845/v1,"H1,V1",24,False,False,
GW200209_085452,1,GWTC-3-confident,1265273710.1,9.6,0.97236,0.046,35.6,-6.8,10.5,27.1,-7.8,7.8,62.6,26.7,-0.12,-0.3,0.24,59.9,-8.9,3400.0,0.57,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200209_085452/v1,"H1,L1,V1",36,False,False,
GW190803_022701,2,GWTC-2.1-confident,1248834439.8,9.3,0.97383,0.073,37.7,-6.7,9.8,27.6,-8.5,7.6,65.0,27.6,-0.01,-0.28,0.23,62.1,-7.6,3190.0,0.54,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190803_022701/v2,"H1,L1,V1",36,False,False,
GW190725_174728,1,GWTC-2.1-confident,1248112066.4,9.1,0.96021,0.46,11.8,-3.0,10.1,6.3,-2.5,2.1,18.3,7.4,-0.04,-0.16,0.36,17.6,-1.8,1030.0,0.2,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190725_174728/v1,"H1,L1,V1",36,False,False,
GW190413_052954,2,GWTC-2.1-confident,1239168612.5,9.0,0.9275,0.82,33.7,-6.4,10.4,24.2,-7.0,6.5,58.0,24.5,-0.04,-0.32,0.27,55.5,-7.3,3320.0,0.56,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190413_052954/v2,"H1,L1",24,False,False,
GW191103_012549,1,GWTC-3-confident,1256779567.5,8.9,0.94318,0.46,11.8,-2.2,6.2,7.9,-2.4,1.7,20.0,8.34,0.21,-0.1,0.16,19.0,-1.7,990.0,0.2,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191103_012549/v1,"H1,L1",24,False,False,
GW190805_211137,1,GWTC-2.1-confident,1249074715.3,8.1,0.95372,0.63,46.2,-11.2,15.4,30.6,-11.3,11.8,76.7,31.9,0.37,-0.39,0.29,72.4,-13.2,6130.0,0.92,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190805_211137/v1,"H1,L1",24,False,False,
